iter	Logloss
0	0.5777462156
1	0.5296417984
2	0.49899445
3	0.4773079979
4	0.4591229866
5	0.4462110317
6	0.4368257817
7	0.4267364688
8	0.4178858627
9	0.4092359526
10	0.4041709762
11	0.3986185586
12	0.3937340762
13	0.3875236538
14	0.3818283084
15	0.3779405854
16	0.3736080166
17	0.3693201259
18	0.3645021449
19	0.3616694769
20	0.3584639172
21	0.355519127
22	0.3526004934
23	0.3490879403
24	0.346383901
25	0.3443034082
26	0.3420943248
27	0.3393152685
28	0.337625288
29	0.3354345144
30	0.3334834063
31	0.3319317015
32	0.3300958872
33	0.3279104045
34	0.3257693516
35	0.3236652624
36	0.3221702512
37	0.3201147024
38	0.3186063445
39	0.3174364147
