iter	Passed	Remaining
0	1988	77544
1	4213	80057
2	5738	70780
3	7124	64122
4	8516	59618
5	9873	55949
6	11245	53015
7	12572	50291
8	13886	47831
9	15250	45752
10	16558	43653
11	17980	41955
12	19480	40459
13	20811	38649
14	22222	37037
15	23512	35268
16	24826	33588
17	26130	31936
18	27532	30430
19	28922	28922
20	30236	27356
21	31565	25826
22	32872	24297
23	34270	22846
24	35792	21475
25	37211	20037
26	38799	18681
27	40293	17268
28	41677	15808
29	42986	14328
30	44475	12912
31	45879	11469
32	47155	10002
33	48481	8555
34	49874	7124
35	51352	5705
36	52662	4269
37	53954	2839
38	55237	1416
39	56531	0
